left_pose_history,left_point,right_point,right_pose_history
,,6,"[1, 11, 6, 11]"
,,1,"[1, 6, 11]"
,,2,"[1, 6, 11]"
,,3,"[1, 6, 11]"
,,4,"[1, 6, 11]"
,,5,"[1, 6, 11]"
,,6,"[1, 6, 11]"
"[0, 7, 11]",1,,
"[0, 11, 7, 11]",2,,
"[0, 7, 11]",3,,
"[0, 7, 11]",4,,
"[0, 7, 11]",5,,
"[0, 7, 11]",6,,
"[0, 7, 11]",7,,
,0,0,
,0,0,
,0,0,
"[0, 8, 11]",1,,
"[0, 3, 11]",2,,
"[0, 3, 11]",3,,
"[0, 2, 11]",4,,
"[0, 2, 11]",5,,
"[0, 8, 2, 11]",6,,
,,1,"[1, 2, 11]"
,,2,"[1, 2, 11]"
,,3,"[1, 2, 11]"
,,4,"[1, 2, 11]"
,,5,"[1, 11, 1, 3, 11]"
,,6,"[1, 3, 11]"
,,7,"[1, 3, 11]"
,,8,"[1, 11, 1, 11]"
"[0, 1, 11]",1,,
"[0, 1, 11]",2,,
"[0, 1, 11]",3,,
"[0, 1, 11]",4,,
"[0, 1, 11]",5,,
"[0, 1, 11]",6,,
"[0, 11, 4, 11]",7,,
"[0, 11, 1, 11]",8,,
"[0, 11, 1, 11]",9,,
"[0, 11, 1, 11]",10,,
"[0, 11, 1, 11]",11,,
"[0, 11, 1, 11]",12,,
"[0, 1, 11]",13,,
"[0, 8, 0, 11]",1,,
,,1,"[1, 11, 1, 0, 11]"
,,2,"[1, 0, 11]"
,,3,"[1, 0, 11]"
,,4,"[1, 0, 11]"
,,5,"[1, 11, 0, 11]"
,,6,"[1, 11, 0, 11]"
,,7,"[1, 11, 0, 11]"
,,8,"[1, 11, 1, 11]"
"[0, 11, 1, 11]",2,,
,,1,"[1, 11, 0, 11]"
,,2,"[1, 0, 11]"
,,3,"[1, 0, 11]"
,,4,"[1, 0, 11]"
,,5,"[1, 0, 11]"
,,6,"[1, 11, 0, 11]"
,,7,"[1, 11, 0, 11]"
"[0, 11, 1, 11]",1,,
"[0, 11, 1, 11]",2,,
"[0, 11, 0, 11]",3,,
,,8,"[1, 11, 0, 11]"
,,9,"[1, 11, 0, 11]"
,,1,"[1, 11, 0, 11]"
,,2,"[1, 0, 11]"
,,3,"[1, 0, 11]"
,,4,"[1, 0, 11]"
,,5,"[1, 0, 11]"
,,6,"[1, 11, 0, 11]"
,,7,"[1, 11, 0, 11]"
"[0, 11, 1, 11]",1,,
"[0, 11, 1, 11]",2,,
"[0, 11, 0, 11]",3,,
,,8,"[1, 11, 0, 11]"
,,9,"[1, 11, 0, 11]"
,,1,"[1, 11, 0, 11]"
,,2,"[1, 0, 11]"
"[0, 11, 1, 11]",1,,
"[0, 1, 11]",2,,
"[0, 1, 11]",3,,
"[0, 1, 11]",4,,
"[0, 1, 11]",5,,
"[0, 1, 11]",6,,
"[0, 11, 1, 4, 11]",7,,
"[0, 11, 1, 11]",8,,
"[0, 11, 1, 11]",9,,
"[0, 11, 1, 11]",10,,
"[0, 11, 1, 11]",11,,
"[0, 11, 1, 11]",12,,
"[0, 1, 11]",13,,
,,1,"[1, 11, 5, 9, 4, 11]"
"[0, 3, 11]",1,,
"[0, 8, 11]",2,,
"[0, 8, 3, 0, 11]",3,,
"[0, 8, 3, 5, 11]",4,,
"[0, 2, 0, 2, 11]",5,,
"[0, 2, 11]",6,,
"[0, 8, 2, 8, 0, 11]",7,,
"[0, 8, 2, 8, 11]",8,,
,,1,"[1, 5, 9, 6, 0, 2, 0, 2, 0, 2, 4, 7, 2, 11]"
,,2,"[1, 2, 11]"
,,3,"[1, 2, 11]"
,,4,"[1, 2, 11]"
,,5,"[1, 2, 11]"
,,6,"[1, 8, 3, 6, 11]"
,,7,"[1, 8, 3, 11]"
,,8,"[1, 8, 3, 8, 11]"
,,9,"[1, 8, 3, 6, 11]"
,,10,"[1, 8, 3, 0, 11]"
,,11,"[1, 8, 3, 6, 11]"
"[0, 11, 1, 6, 11]",1,,
,,1,"[1, 6, 11]"
,,2,"[1, 11, 6, 11]"
,,3,"[1, 6, 11]"
,,4,"[1, 6, 11]"
,,5,"[1, 8, 6, 11]"
"[0, 7, 11]",2,,
"[0, 11, 1, 7, 11]",3,,
"[0, 7, 11]",4,,
"[0, 7, 11]",5,,
"[0, 5, 0, 1, 7, 11]",6,,
"[0, 5, 0, 7, 11]",7,,
,,1,"[1, 11, 6, 11]"
"[0, 7, 11]",1,,
,,2,"[1, 11, 6, 11]"
"[0, 7, 11]",2,,
,,3,"[1, 6, 11]"
"[0, 7, 11]",3,,
,,4,"[1, 6, 11]"
"[0, 7, 11]",4,,
,,5,"[1, 11, 6, 11]"
,,1,"[1, 8, 11]"
"[0, 5, 8, 11]",1,,
,,2,"[1, 8, 11]"
"[0, 8, 11]",2,,
,,3,"[1, 8, 11]"
"[0, 8, 11]",3,,
,,4,"[1, 11, 8, 11]"
"[0, 8, 11]",4,,
"[0, 5, 0, 8, 11]",5,,
,,5,"[1, 11, 8, 11]"
"[0, 8, 11]",6,,
,,1,"[1, 8, 11]"
,,2,"[1, 11, 8, 11]"
,,3,"[1, 11, 8, 11]"
"[0, 8, 11]",1,,
"[0, 8, 11]",2,,
"[0, 8, 11]",3,,
"[0, 8, 11]",4,,
"[0, 11, 8, 11]",5,,
,,1,"[1, 2, 0, 11]"
,,2,"[1, 2, 0, 11]"
,,3,"[1, 8, 4, 6, 0, 11]"
"[0, 3, 10, 4, 10, 4, 6, 0, 5, 0, 11]",1,,
,,1,"[1, 8, 2, 1, 11]"
,,2,"[1, 2, 1, 11]"
,,3,"[1, 2, 1, 11]"
,,4,"[1, 3, 8, 3, 8, 1, 11]"
"[0, 5, 0, 5, 0, 4, 11]",1,,
"[0, 4, 11]",2,,
"[0, 4, 11]",3,,
"[0, 4, 11]",4,,
"[0, 4, 11]",5,,
"[0, 4, 11]",6,,
"[0, 4, 11]",7,,
"[0, 4, 11]",8,,
"[0, 4, 11]",9,,
"[0, 4, 11]",10,,
"[0, 11, 1, 5, 11]",1,,
,,1,"[1, 5, 11]"
,,2,"[1, 5, 11]"
,,3,"[1, 5, 11]"
,,4,"[1, 5, 11]"
,,5,"[1, 5, 11]"
,,6,"[1, 5, 11]"
,,7,"[1, 5, 11]"
,,8,"[1, 5, 11]"
,,9,"[1, 5, 11]"
"[0, 11, 8, 11]",1,,
